No,CW,Ta,RH,u,N,PA
1,0.111,9.6,69.7,1.1,8,886.6
2,0.222,9.1,73.4,1.5,8,886.5
3,0.417,7.3,92.3,1.3,8,889.1
4,0.167,6.9,67.7,0.8,1,892.2
5,0,15.4,18.3,1.2,0,888.7
6,0,19.5,20,1,2,886.5
7,0,12.6,44.7,1.3,2,887.5
8,0,5,77.9,0.6,0,888.9
9,0,9.7,34.2,0.9,2,883.9
10,0.194,8.8,52.8,1,2,883.2
11,0.333,6.6,81.8,1.4,0,892.6
12,0,17.1,30.6,1.2,2,889.1
13,0.111,14.6,58.9,0.8,4,887.6
14,0.111,7.1,86.1,1.3,8,888.2
15,0.111,9.9,62.3,1.3,6,890.3
16,0,18.3,21.4,1.2,0,887
17,0.167,10.4,70.2,1.1,2,887.7
18,0.222,7.2,79.4,1.5,2,890
19,0,12.3,38.6,1.2,2,890.2
20,0.083,11.6,60.4,0.6,8,888.1
21,0,13.2,41.8,0.8,0,887.1
22,0,12.8,39,0.9,0,887.4
23,0,12.7,50.8,0.9,6,887.7
24,0,13.3,49.7,1.2,0,886.9
25,0,16.7,30.6,1,0,886.4
26,0,13,57,1.4,0,885.7
27,0.278,7.5,88.2,1.8,6,887.9
28,0.028,8.5,74,1.5,2,887.6
29,0,17.7,19.5,0.9,0,886.5
30,0,15.9,47.3,0.9,0,886.8
31,0,14.3,61.9,0.6,0,886.4
32,0.25,14,41.7,1,2,886.7
33,0,15.6,33.6,0.8,6,884.5
34,0,14.6,38.5,0.4,6,887.5
35,0,16.8,26.6,1.1,2,887.9
36,0,21.6,16.7,0.8,2,887
37,0,17.1,43.9,0.9,4,887
38,0,16.7,26.7,1,2,887.8
39,0,17.2,17.8,0.9,8,887.7
40,0,13.4,34.6,0.9,0,889.2
41,0,14.1,29.5,1.1,0,888.4
42,0,18.4,28.2,1.1,2,888.5
43,0,19.4,29.1,0.7,0,885.9
44,0.083,16.4,57.8,0.7,2,886.8
45,0,19.5,43.9,0.9,0,887.8
46,0,19.7,47.8,1.1,0,888
47,0,19.7,40.5,0.7,0,884.7
48,0.167,11.1,84.3,0.7,8,887.2
49,0.111,10.6,88.6,1.5,6,887.7
50,0.083,13.3,66.5,0.9,0,889
51,0,12.1,65.4,0.9,0,889.3
52,0,12.6,55.9,0.9,2,887
53,0,13.8,49.1,0.8,2,886.6
54,0,14.9,34.6,0.8,6,887.4
55,0,12.2,37.4,0.9,0,888.4
56,0,15.7,18.1,1.2,0,887.6
57,0,14.9,17.6,0.9,0,887.8
58,0,16.9,13.7,0.8,0,889.6
59,0,15.5,41,1,0,886.6
60,0,16.4,21.4,1,0,887.6
61,0,15.9,42.3,0.7,0,887.6
62,0.056,14.9,62.1,1,0,886.5
63,0.042,13.3,64.8,1.1,8,888
64,0.042,12.3,64.8,0.9,0,887.6
65,0,18.2,24,0.9,0,887.8
66,0,15.3,54.3,0.6,2,886.9
67,0,14.6,47.6,1.1,2,886.6
68,0,16.3,40.1,0.6,2,886.2
69,0,15.4,42.6,0.8,0,887.8
70,0,13.4,64.3,1,8,884.9
71,0,18,18.1,1,0,885.9
72,0.125,20.7,25.2,1.1,0,883.5
73,0.153,12.5,74.6,1.5,2,889.3
74,0.083,16.9,43.1,0.8,2,886.4
75,0.028,18.2,43.7,0.6,0,884.1
76,0.222,12.6,79.5,0.9,2,886.4
77,0.028,14.8,64,1,0,889.3
78,0,18.5,41.3,0.7,8,888.2
79,0,17,38.4,1.3,0,888.1
80,0,14.9,43.5,0.7,0,885.9
81,0,12.3,53.7,0.8,0,886.8
82,0,13.4,57.4,0.8,0,888.4
83,0,16.7,43.9,0.7,0,888.8
84,0,16.6,44.2,0.7,0,887.6
85,0.056,14,69.2,0.5,0,886.4
86,0,12.3,73,0.9,8,885.4
87,0,11.3,73.1,1.2,8,887.5
88,0,19.6,19.5,0.9,0,885.8
89,0,17.8,40.2,1.1,0,886
90,0,17.3,56.1,1,0,885.9
91,0.014,14.9,66.9,0.8,0,886.8
92,0,18.4,41.1,0.7,0,884.9
93,0,20.7,36.6,0.9,0,885.9
94,0,19.5,47.6,1.1,2,885.1
95,0.042,19,45.4,0.8,0,884.1
96,0,22.7,24.4,0.7,0,885.2
97,0.042,19.2,51.7,0.6,0,886
98,0.028,17.2,61.8,0.8,0,884.5
99,0.056,16.1,66.3,0.5,0,885.7
100,0.056,17.2,58.8,0.7,0,886.4
101,0.056,17.5,62.5,0.5,0,887.1
102,0.028,18.4,54,0.6,0,887.1
103,0.083,16.9,63.3,0.6,0,887.9
104,0.056,14.5,75.9,0.8,8,885.9
