v,RH,u,N,PA,CW
14.5,68.6,0.7,2,884,0.042
20.9,48.6,0.6,0,883.4,0
18.4,54,0.6,0,887.1,0.028
14.8,41.4,0.7,8,890,0.014
6.1,96.4,1,7,888.7,0.028
17.3,63,0.9,0,885.2,0.056
16.7,43.9,0.7,0,888.8,0
19,45.4,0.8,0,884.1,0.042
17.4,27.6,1,0,887.9,0.056
7.2,79.4,1.5,2,890,0.222
7.1,86.1,1.3,8,888.2,0.111
15.2,64.5,0.9,2,885,0.028
14.3,61.9,0.6,0,886.4,0
12.6,79.5,0.9,2,886.4,0.222
16.7,66.5,0.9,0,885.9,0.028
14.9,34.6,0.8,6,887.4,0
6.6,81.8,1.4,0,892.6,0.333
16.3,57.8,0.6,0,886.4,0.056
12.3,38.6,1.2,2,890.2,0
9.6,69.7,1.1,8,886.6,0.111
20.3,25.6,1.2,8,885.5,0.222
16.1,67.7,0.9,0,887.7,0.042
5.7,95.9,0.8,1,889.4,0.167
15.5,41,1,0,886.6,0
20.7,25.2,1.1,0,883.5,0.125
18.3,21.4,1.2,0,887,0
16.3,56,1,0,889.9,0.056
18.2,43.7,0.6,0,884.1,0.028
17.2,17.8,0.9,8,887.7,0
12.1,65.4,0.9,0,889.3,0
14.5,75.9,0.8,8,885.9,0.056
8.3,74.4,1,1,887.9,0.125
18.2,24,0.9,0,887.8,0
13.7,29.8,1,2,887.2,0.056
12.3,73,0.9,8,885.4,0
8.5,74,1.5,2,887.6,0.028
18.1,63.5,0.7,8,887.8,0.083
17.7,19.5,0.9,0,886.5,0
21.2,16.7,1,0,887.5,0.014
16.6,61,0.7,2,886.2,0.028
6.9,67.7,0.8,1,892.2,0.167
15.3,39.5,1.1,2,889.1,0.028
17.4,15.7,1.3,1,886.1,0
18.9,56.4,0.6,0,886,0
18.3,58.5,0.8,0,885.9,0.014
12,58.5,0.9,2,888.1,0.178
19.5,47.6,1.1,2,885.1,0
19.3,38.5,1.3,0,891.3,0.014
19.7,40.5,0.7,0,884.7,0
17.3,30,0.7,2,888.4,0.028
19.5,41.3,0.8,2,885.2,0.083
15.5,57.6,1.4,2,887,0.056
7.3,92.3,1.3,8,889.1,0.417
10.4,70.2,1.1,2,887.7,0.167
16.4,57.8,0.7,2,886.8,0.083
15.2,54.4,0.7,0,886,0.028
5,77.9,0.6,0,888.9,0
17.5,51.4,0.8,0,887.5,0.167
13.4,34.6,0.9,0,889.2,0
18.4,41.1,0.7,0,884.9,0
11,44.6,1.2,0,891.1,0.167
