v,RH,u,N,PA,CW,No
14.5,68.6,0.7,2,884,0.042,122
20.9,48.6,0.6,0,883.4,0,130
18.4,54,0.6,0,887.1,0.028,102
14.8,41.4,0.7,8,890,0.014,155
6.1,96.4,1,7,888.7,0.028,183
17.3,63,0.9,0,885.2,0.056,115
16.7,43.9,0.7,0,888.8,0,83
19,45.4,0.8,0,884.1,0.042,95
17.4,27.6,1,0,887.9,0.056,165
7.2,79.4,1.5,2,890,0.222,18
7.1,86.1,1.3,8,888.2,0.111,14
15.2,64.5,0.9,2,885,0.028,121
14.3,61.9,0.6,0,886.4,0,31
12.6,79.5,0.9,2,886.4,0.222,76
16.7,66.5,0.9,0,885.9,0.028,119
14.9,34.6,0.8,6,887.4,0,54
6.6,81.8,1.4,0,892.6,0.333,11
16.3,57.8,0.6,0,886.4,0.056,124
12.3,38.6,1.2,2,890.2,0,19
9.6,69.7,1.1,8,886.6,0.111,1
20.3,25.6,1.2,8,885.5,0.222,159
16.1,67.7,0.9,0,887.7,0.042,107
5.7,95.9,0.8,1,889.4,0.167,182
15.5,41,1,0,886.6,0,59
20.7,25.2,1.1,0,883.5,0.125,72
18.3,21.4,1.2,0,887,0,16
16.3,56,1,0,889.9,0.056,140
18.2,43.7,0.6,0,884.1,0.028,75
17.2,17.8,0.9,8,887.7,0,39
12.1,65.4,0.9,0,889.3,0,51
14.5,75.9,0.8,8,885.9,0.056,104
8.3,74.4,1,1,887.9,0.125,181
18.2,24,0.9,0,887.8,0,65
13.7,29.8,1,2,887.2,0.056,176
12.3,73,0.9,8,885.4,0,86
8.5,74,1.5,2,887.6,0.028,28
18.1,63.5,0.7,8,887.8,0.083,135
17.7,19.5,0.9,0,886.5,0,29
21.2,16.7,1,0,887.5,0.014,156
16.6,61,0.7,2,886.2,0.028,123
6.9,67.7,0.8,1,892.2,0.167,4
15.3,39.5,1.1,2,889.1,0.028,170
17.4,15.7,1.3,1,886.1,0,187
18.9,56.4,0.6,0,886,0,112
18.3,58.5,0.8,0,885.9,0.014,113
12,58.5,0.9,2,888.1,0.178,168
19.5,47.6,1.1,2,885.1,0,94
19.3,38.5,1.3,0,891.3,0.014,138
19.7,40.5,0.7,0,884.7,0,47
17.3,30,0.7,2,888.4,0.028,166
19.5,41.3,0.8,2,885.2,0.083,151
15.5,57.6,1.4,2,887,0.056,154
7.3,92.3,1.3,8,889.1,0.417,3
10.4,70.2,1.1,2,887.7,0.167,17
16.4,57.8,0.7,2,886.8,0.083,44
15.2,54.4,0.7,0,886,0.028,120
5,77.9,0.6,0,888.9,0,8
17.5,51.4,0.8,0,887.5,0.167,152
13.4,34.6,0.9,0,889.2,0,40
18.4,41.1,0.7,0,884.9,0,92
11,44.6,1.2,0,891.1,0.167,175
16.7,26.7,1,2,887.8,0,38
14,69.2,0.5,0,886.4,0.056,85
17.8,40.2,1.1,0,886,0,89
15.4,18.3,1.2,0,888.7,0,5
16.4,52.3,1,0,886.4,0.111,161
13.5,55.1,1.1,0,886.7,0.083,162
18.5,41.3,0.7,8,888.2,0,78
12.3,68.8,1.5,0,886.8,0.167,160
9.5,66.9,1.4,8,886.1,0.222,172
19.2,51.7,0.6,0,886,0.042,97
19.3,35.4,0.9,0,885.3,0.056,145
17.4,41.5,0.7,0,885,0.056,147
12.8,68.4,1,8,886.4,0.278,157
15,32.3,1.2,2,885.4,0.028,171
12.9,86.5,1.3,0,889.3,0.014,136
9.9,62.9,0.5,0,887.8,0.056,169
12.8,39,0.9,0,887.4,0,22
16.4,21.4,1,0,887.6,0,60
14.6,47.6,1.1,2,886.6,0,67
16.9,13.7,0.8,0,889.6,0,58
19.6,19.5,0.9,0,885.8,0,88
17.8,59.4,0.6,0,884.9,0.042,127
10.3,76.3,0.9,8,887,0.022,164
12.4,85.2,1,8,888.1,0.056,105
15.6,33.6,0.8,6,884.5,0,33
15.7,18.1,1.2,0,887.6,0,56
16.9,50.4,1.2,0,887.6,0.125,153
17.1,43.9,0.9,4,887,0,37
12.5,74.6,1.5,2,889.3,0.153,73
16.4,69.1,0.9,2,888.4,0.056,116
19.1,35.1,0.8,0,888.1,0.056,139
9.7,34.2,0.9,2,883.9,0,9
11.3,73.1,1.2,8,887.5,0,87
14.1,29.5,1.1,0,888.4,0,41
13.8,49.1,0.8,2,886.6,0,53
13.3,64.8,1.1,8,888,0.042,63
17.3,56.1,1,0,885.9,0,90
17.6,65,1.1,2,888,0.014,133
12,90.4,1.5,0,886.1,0.083,146
17.5,52.4,0.6,2,885.1,0.056,125
9.6,54.4,0.9,8,888.5,0.278,174
16.4,62.3,0.8,8,884.6,0.222,150
13.1,53.3,1.3,0,889.2,0,167
16.4,70.6,0.8,0,886.6,0.028,111
17.8,55.8,0.8,0,889.3,0.056,118
12.5,60.3,1.1,0,888.6,0.056,163
14.8,24.7,1.4,8,888.2,0,180
12.2,37.4,0.9,0,888.4,0,55
14.8,64,1,0,889.3,0.028,77
10.6,88.6,1.5,6,887.7,0.111,49
15.9,42.3,0.7,0,887.6,0,61
22.4,21.6,0.9,0,885.8,0,149
12.7,31,1,8,890.1,0,179
