v,RH,u,N,PA,CW,No
16.9,63.3,0.6,0,887.9,0.083,103
17.9,54.2,0.5,0,885.5,0.042,126
13,57,1.4,0,885.7,0,26
16.5,70,0.9,8,886.1,0.028,109
9.8,61.7,1.4,0,888.7,0.139,173
8.8,52.8,1,2,883.2,0.194,10
16.8,26.6,1.1,2,887.9,0,35
18,48.6,0.7,2,888.4,0.042,117
19.5,20,1,2,886.5,0,6
9.9,62.3,1.3,6,890.3,0.111,15
12.3,64.8,0.9,0,887.6,0.042,64
15.3,54.3,0.6,2,886.9,0,66
13.4,57.4,0.8,0,888.4,0,82
20.7,36.6,0.9,0,885.9,0,93
9.6,65.7,0.7,0,891,0.083,186
15.2,48.9,3.6,8,886.2,0.056,188
14.9,17.6,0.9,0,887.8,0,57
16.3,66.2,0.9,8,884.4,0.028,114
17,38.4,1.3,0,888.1,0,79
8.7,55.4,1,1,890.4,0.083,184
7.5,88.2,1.8,6,887.9,0.278,27
14.6,38.5,0.4,6,887.5,0,34
14.9,62.1,1,0,886.5,0.056,62
16.3,70.5,0.8,0,886.8,0,110
19.7,47.8,1.1,0,888,0,46
16.3,40.1,0.6,2,886.2,0,68
18.4,62.1,1.1,2,887.3,0,134
19.1,43.9,1,0,888.4,0.056,141
11.6,60.4,0.6,8,888.1,0.083,20
18,18.1,1,0,885.9,0,71
13.3,77.3,0.8,0,888.1,0.042,106
6.4,90.7,0.8,7,889.5,0.028,185
18.4,28.2,1.1,2,888.5,0,42
12.6,55.9,0.9,2,887,0,52
13.4,64.3,1,8,884.9,0,70
17.5,61.4,0.8,0,887.5,0.042,108
18.8,40.2,0.9,0,886.2,0.028,144
